GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_MOE_VC27,Occupied housing units; Margin of Error; BEDROOMS - No bedroom
HC02_EST_VC27,Owner-occupied housing units; Estimate; BEDROOMS - No bedroom
HC02_MOE_VC27,Owner-occupied housing units; Margin of Error; BEDROOMS - No bedroom
HC03_EST_VC27,Renter-occupied housing units; Estimate; BEDROOMS - No bedroom
HC03_MOE_VC27,Renter-occupied housing units; Margin of Error; BEDROOMS - No bedroom
HC01_EST_VC28,Occupied housing units; Estimate; BEDROOMS - 1 bedroom
HC01_MOE_VC28,Occupied housing units; Margin of Error; BEDROOMS - 1 bedroom
HC02_EST_VC28,Owner-occupied housing units; Estimate; BEDROOMS - 1 bedroom
HC02_MOE_VC28,Owner-occupied housing units; Margin of Error; BEDROOMS - 1 bedroom
HC03_EST_VC28,Renter-occupied housing units; Estimate; BEDROOMS - 1 bedroom
HC03_MOE_VC28,Renter-occupied housing units; Margin of Error; BEDROOMS - 1 bedroom
HC01_EST_VC29,Occupied housing units; Estimate; BEDROOMS - 2 or 3 bedrooms
HC01_MOE_VC29,Occupied housing units; Margin of Error; BEDROOMS - 2 or 3 bedrooms
HC02_EST_VC29,Owner-occupied housing units; Estimate; BEDROOMS - 2 or 3 bedrooms
HC02_MOE_VC29,Owner-occupied housing units; Margin of Error; BEDROOMS - 2 or 3 bedrooms
HC03_EST_VC29,Renter-occupied housing units; Estimate; BEDROOMS - 2 or 3 bedrooms
HC03_MOE_VC29,Renter-occupied housing units; Margin of Error; BEDROOMS - 2 or 3 bedrooms
HC01_EST_VC30,Occupied housing units; Estimate; BEDROOMS - 4 or more bedrooms
HC01_MOE_VC30,Occupied housing units; Margin of Error; BEDROOMS - 4 or more bedrooms
HC02_EST_VC30,Owner-occupied housing units; Estimate; BEDROOMS - 4 or more bedrooms
HC02_MOE_VC30,Owner-occupied housing units; Margin of Error; BEDROOMS - 4 or more bedrooms
HC03_EST_VC30,Renter-occupied housing units; Estimate; BEDROOMS - 4 or more bedrooms
HC03_MOE_VC30,Renter-occupied housing units; Margin of Error; BEDROOMS - 4 or more bedrooms
HC01_EST_VC33,Occupied housing units; Estimate; COMPLETE FACILITIES - With complete plumbing facilities
HC01_MOE_VC33,Occupied housing units; Margin of Error; COMPLETE FACILITIES - With complete plumbing facilities
HC02_EST_VC33,Owner-occupied housing units; Estimate; COMPLETE FACILITIES - With complete plumbing facilities
HC02_MOE_VC33,Owner-occupied housing units; Margin of Error; COMPLETE FACILITIES - With complete plumbing facilities
HC03_EST_VC33,Renter-occupied housing units; Estimate; COMPLETE FACILITIES - With complete plumbing facilities
HC03_MOE_VC33,Renter-occupied housing units; Margin of Error; COMPLETE FACILITIES - With complete plumbing facilities
HC01_EST_VC34,Occupied housing units; Estimate; COMPLETE FACILITIES - With complete kitchen facilities
HC01_MOE_VC34,Occupied housing units; Margin of Error; COMPLETE FACILITIES - With complete kitchen facilities
HC02_EST_VC34,Owner-occupied housing units; Estimate; COMPLETE FACILITIES - With complete kitchen facilities
